fullpart_time,gender,months_work,respect,hr_wage,fullpart_time_char,gender_char
(1) Full-time worker,(2) Female,12,(2) Agree,NA,Full-time,Female
(2) Part-time worker,(2) Female,9,(2) Agree,NA,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,7.875,Full-time,Female
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,16,Full-time,Female
(1) Full-time worker,(2) Female,11,(1) Strongly agree,10.5,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,14.65,Full-time,Female
(2) Part-time worker,(2) Female,6,(1) Strongly agree,9.25,Part-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,13.5,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,9,(2) Agree,15,Part-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,12.47,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,10,(2) Agree,32.23684210527,Full-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,NA,Full-time,Female
(1) Full-time worker,(2) Female,5,(2) Agree,13,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,9,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,9,(2) Agree,18.75,Full-time,Female
(1) Full-time worker,(2) Female,10,(2) Agree,23.14285714286,Full-time,Female
(1) Full-time worker,(2) Female,10,(2) Agree,NA,Full-time,Female
(2) Part-time worker,(2) Female,10,(1) Strongly agree,28.63,Part-time,Female
(1) Full-time worker,(2) Female,9,(4) Disagree,12,Full-time,Female
(2) Part-time worker,(2) Female,12,(3) Neither agree nor disagree,11.42,Part-time,Female
(1) Full-time worker,(2) Female,8,(2) Agree,7.5,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,10,Part-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,18.17000000001,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,NA,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,NA,Full-time,Female
(1) Full-time worker,(1) Male,12,(2) Agree,13.5,Full-time,Male
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,4,(2) Agree,9.25,Part-time,Female
(2) Part-time worker,(2) Female,12,(1) Strongly agree,10.4,Part-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,9,(2) Agree,12.5,Full-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,20.1754385965,Full-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,17,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,13.75,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,13,Full-time,Female
(1) Full-time worker,(2) Female,10,(2) Agree,38.19444444445,Full-time,Female
(1) Full-time worker,(2) Female,10,(2) Agree,38.19444444445,Full-time,Female
(1) Full-time worker,(2) Female,10,(2) Agree,12,Full-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,107.5,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,16,Full-time,Female
(1) Full-time worker,(2) Female,10,(2) Agree,13.22115384616,Full-time,Female
(1) Full-time worker,(2) Female,1,(1) Strongly agree,4.65,Full-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,19.68,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,NA,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(4) Disagree,16,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,13,Full-time,Female
(1) Full-time worker,(2) Female,8,(2) Agree,15.3125,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,12.5,Full-time,Female
(1) Full-time worker,(2) Female,9,(4) Disagree,21.25,Full-time,Female
(1) Full-time worker,(2) Female,11,(1) Strongly agree,NA,Full-time,Female
(1) Full-time worker,(2) Female,NA,(2) Agree,10.75,Full-time,Female
(1) Full-time worker,(2) Female,7,(3) Neither agree nor disagree,13.75,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,10,(2) Agree,22,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,8,Part-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,NA,(2) Agree,NA,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,12.1,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,8.5,Full-time,Female
(2) Part-time worker,(2) Female,9,(2) Agree,22,Part-time,Female
(1) Full-time worker,(2) Female,9,(1) Strongly agree,16.87,Full-time,Female
(1) Full-time worker,(2) Female,4,(3) Neither agree nor disagree,10,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,12,Part-time,Female
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,11.26,Full-time,Female
(1) Full-time worker,(2) Female,10,(3) Neither agree nor disagree,NA,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,15.09,Part-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,18,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,18,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9.52380952381,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,12,Part-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,12,Part-time,Female
(1) Full-time worker,(2) Female,9,(1) Strongly agree,8,Full-time,Female
(2) Part-time worker,(2) Female,12,(1) Strongly agree,17.29,Part-time,Female
(2) Part-time worker,(2) Female,10,(2) Agree,107.5,Part-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,12.5,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,10,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,11.5,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,12.5,Part-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(5) Strongly disagree,14.35,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12.5,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,23.07692307693,Full-time,Female
(1) Full-time worker,(2) Female,10,(2) Agree,22.85714285715,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,7,(4) Disagree,9.375,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10.25,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,17,Full-time,Female
(2) Part-time worker,(2) Female,10,(2) Agree,12.5,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9.375,Full-time,Female
(2) Part-time worker,(2) Female,12,(4) Disagree,14.12,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,14,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9.5,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA,Full-time,Female
(1) Full-time worker,(2) Female,4,(1) Strongly agree,8.75,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12.25,Full-time,Female
(2) Part-time worker,(2) Female,10,(2) Agree,12.79,Part-time,Female
(2) Part-time worker,(2) Female,12,(3) Neither agree nor disagree,51.42857142858,Part-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10.75,Full-time,Female
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,12,Full-time,Female
(1) Full-time worker,(2) Female,1,(3) Neither agree nor disagree,9,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,18.75,Full-time,Female
(2) Part-time worker,(2) Female,1,(1) Strongly agree,13.1,Part-time,Female
(1) Full-time worker,(2) Female,12,(4) Disagree,13,Full-time,Female
(2) Part-time worker,(1) Male,1,(1) Strongly agree,8.5,Part-time,Male
(1) Full-time worker,(2) Female,5,(5) Strongly disagree,NA,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,NA,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,11,Part-time,Female
(1) Full-time worker,(2) Female,9,(1) Strongly agree,30.84573571429,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,9.25,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,15.05965909091,Part-time,Female
(1) Full-time worker,(2) Female,3,(1) Strongly agree,12,Full-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,10.1,Full-time,Female
(1) Full-time worker,(2) Female,3,(3) Neither agree nor disagree,8,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,23.07692307693,Part-time,Female
(2) Part-time worker,(2) Female,12,(1) Strongly agree,10.38461538462,Part-time,Female
(1) Full-time worker,(2) Female,6,(1) Strongly agree,11.37,Full-time,Female
(1) Full-time worker,(1) Male,NA,(1) Strongly agree,NA,Full-time,Male
(1) Full-time worker,(2) Female,11,(1) Strongly agree,10,Full-time,Female
(1) Full-time worker,(2) Female,2,(1) Strongly agree,15,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,10,(2) Agree,16,Full-time,Female
(1) Full-time worker,(2) Female,9,(1) Strongly agree,10,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,10,Part-time,Female
(1) Full-time worker,(2) Female,9,(3) Neither agree nor disagree,13.7,Full-time,Female
(1) Full-time worker,(2) Female,6,(1) Strongly agree,13,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,10,(1) Strongly agree,16.29,Full-time,Female
(1) Full-time worker,(2) Female,4,(2) Agree,15,Full-time,Female
(2) Part-time worker,(2) Female,8,(1) Strongly agree,8,Part-time,Female
(1) Full-time worker,(2) Female,1,(3) Neither agree nor disagree,12,Full-time,Female
(1) Full-time worker,(2) Female,10,(3) Neither agree nor disagree,9.25,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,11,(2) Agree,16.86,Full-time,Female
(1) Full-time worker,(1) Male,7,(1) Strongly agree,18.01428571429,Full-time,Male
(1) Full-time worker,(2) Female,12,(1) Strongly agree,23.53,Full-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,26,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,18.5,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,13.5,Full-time,Female
(1) Full-time worker,(2) Female,NA,(1) Strongly agree,16,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,10,(2) Agree,21,Full-time,Female
(2) Part-time worker,(2) Female,12,(1) Strongly agree,9,Part-time,Female
(1) Full-time worker,(2) Female,12,(4) Disagree,17,Full-time,Female
(1) Full-time worker,(2) Female,8,NA,10,Full-time,Female
(1) Full-time worker,(2) Female,1,(3) Neither agree nor disagree,12,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,12,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,8.56481481482,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,15,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,18,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,17,Full-time,Female
(2) Part-time worker,(2) Female,9,(1) Strongly agree,17.08235294118,Part-time,Female
(2) Part-time worker,(2) Female,9,(1) Strongly agree,18.52941176471,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,8.5,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12.31,Full-time,Female
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,9.5,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,11,Full-time,Female
(1) Full-time worker,(2) Female,10,(2) Agree,9.25,Full-time,Female
(1) Full-time worker,(2) Female,12,(4) Disagree,11.538461538469999,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,11.95,Full-time,Female
(2) Part-time worker,(2) Female,9,(2) Agree,12,Part-time,Female
(1) Full-time worker,(2) Female,5,(5) Strongly disagree,10,Full-time,Female
(2) Part-time worker,(2) Female,10,(1) Strongly agree,21.41203703704,Part-time,Female
(2) Part-time worker,(2) Female,10,(2) Agree,NA,Part-time,Female
(2) Part-time worker,(2) Female,12,(3) Neither agree nor disagree,9,Part-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,8,Full-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,11.5,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,12.9375,Full-time,Female
(2) Part-time worker,(2) Female,12,(5) Strongly disagree,11,Part-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,11.75,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,20,Full-time,Female
(1) Full-time worker,(2) Female,11,(2) Agree,16,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,30,Full-time,Female
(2) Part-time worker,(2) Female,11,(2) Agree,23,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,24,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,11,Full-time,Female
(1) Full-time worker,(2) Female,9,(3) Neither agree nor disagree,12.5,Full-time,Female
(1) Full-time worker,(2) Female,6,(1) Strongly agree,6.92307692308,Full-time,Female
(1) Full-time worker,(2) Female,12,(4) Disagree,9.5,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,14.10256410257,Full-time,Female
(2) Part-time worker,(2) Female,9,(1) Strongly agree,10,Part-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,15,Full-time,Female
(2) Part-time worker,(2) Female,12,(3) Neither agree nor disagree,51.42857142858,Part-time,Female
(1) Full-time worker,(2) Female,10,(2) Agree,21.02102102103,Full-time,Female
(1) Full-time worker,(2) Female,12,(4) Disagree,12.68,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA,Full-time,Female
(2) Part-time worker,(2) Female,7,(1) Strongly agree,24,Part-time,Female
(2) Part-time worker,(2) Female,12,(1) Strongly agree,10,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,14,Full-time,Female
(2) Part-time worker,(2) Female,12,(1) Strongly agree,12,Part-time,Female
(1) Full-time worker,(2) Female,7,(2) Agree,10,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,14,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,12,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,16.25,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,16.5,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,19,Full-time,Female
(2) Part-time worker,(2) Female,1,(5) Strongly disagree,14.4,Part-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,1.5,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,11,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,9,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,8,(1) Strongly agree,13,Part-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,12.5,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,10,(2) Agree,NA,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13,Full-time,Female
(2) Part-time worker,(2) Female,9,(1) Strongly agree,12.55,Part-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,13.5,Full-time,Female
(2) Part-time worker,(2) Female,6,(2) Agree,51.42857142858,Part-time,Female
(1) Full-time worker,(2) Female,NA,(5) Strongly disagree,10.25,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,13.75,Full-time,Female
(1) Full-time worker,(1) Male,12,(1) Strongly agree,NA,Full-time,Male
(1) Full-time worker,(2) Female,10,(2) Agree,53.57142857143,Full-time,Female
(2) Part-time worker,(2) Female,9,(2) Agree,29.62962962963,Part-time,Female
(2) Part-time worker,(2) Female,6,(1) Strongly agree,8.63333333334,Part-time,Female
(1) Full-time worker,(2) Female,9,(2) Agree,11,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,11.25,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,12,(5) Strongly disagree,14.34,Part-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,10,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,9,(2) Agree,NA,Full-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,15,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,8.25396825397,Full-time,Female
(2) Part-time worker,(2) Female,9,(1) Strongly agree,12.5,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,14,Full-time,Female
(2) Part-time worker,(2) Female,12,(1) Strongly agree,8.5,Part-time,Female
(2) Part-time worker,(2) Female,10,(1) Strongly agree,13,Part-time,Female
(1) Full-time worker,(2) Female,10,(1) Strongly agree,14.69,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,NA,Full-time,Female
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,25.961538461539998,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,11,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(1) Male,10,(2) Agree,NA,Full-time,Male
(1) Full-time worker,(2) Female,10,(2) Agree,15.77,Full-time,Female
(2) Part-time worker,(2) Female,9,(2) Agree,5.91724137932,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,17.5,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,12,(2) Agree,8.33333333334,Part-time,Female
(2) Part-time worker,(2) Female,5,(1) Strongly agree,8.6,Part-time,Female
(2) Part-time worker,(2) Female,10,(1) Strongly agree,20.83333333334,Part-time,Female
(2) Part-time worker,(2) Female,12,(1) Strongly agree,7.25,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,2.30769230769,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,13.45,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,9,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12,Full-time,Female
(1) Full-time worker,(2) Female,6,(1) Strongly agree,8.75,Full-time,Female
(1) Full-time worker,(2) Female,9,(2) Agree,17,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,14.75,Full-time,Female
(2) Part-time worker,(2) Female,2,(1) Strongly agree,9.25,Part-time,Female
(2) Part-time worker,(2) Female,9,(1) Strongly agree,13.45,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,24.28571428572,Full-time,Female
(1) Full-time worker,(2) Female,11,(2) Agree,17,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,7.91666666667,Full-time,Female
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,11,(2) Agree,24,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,11.38,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,8.4,Full-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,7.55,Part-time,Female
(2) Part-time worker,(2) Female,12,(2) Agree,8,Part-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,25,Full-time,Female
(1) Full-time worker,(1) Male,9,(1) Strongly agree,18,Full-time,Male
(1) Full-time worker,(2) Female,12,(1) Strongly agree,15.6,Full-time,Female
(1) Full-time worker,(2) Female,12,(2) Agree,22,Full-time,Female
(1) Full-time worker,(2) Female,12,(1) Strongly agree,10,Full-time,Female
(1) Full-time worker,(2) Female,12,(3) Neither agree nor disagree,11.33,Full-time,Female
(1) Full-time worker,(2) Female,5,(1) Strongly agree,15,Full-time,Female
(1) Full-time worker,(2) Female,9,(2) Agree,21,Full-time,Female
